feature,beta_baseline,se_baseline,p_baseline,beta_yolo,se_yolo,p_yolo
access=delivery,-0.2855478411646392,1.490579766612194,0.8480803706376026,-0.3060825248086223,1.480618492784259,0.8362237526643488
access=destination,-1.6577800817578223,0.3999359599495939,3.39644933926575e-05,-1.6859076529882513,0.4030966166395917,2.8845935113652743e-05
access=missing,-0.5630922536266164,0.2672063047464134,0.0350888577539414,-0.5708605040471855,0.2696045246773482,0.0342259508500668
access=no,-0.1236045999885758,0.4097105566780209,0.7628902117393632,-0.1271831098626254,0.4101457585968511,0.7564906410471617
access=permissive,-2.3408705193858865,0.5924324680621225,7.773214184858546e-05,-2.367923994000249,0.5971011478984658,7.318087423846542e-05
access=private,-1.7820279662062803,0.3973565443313016,7.301394436831643e-06,-1.8012082365883542,0.3997323369825332,6.604993638470447e-06
access=yes,-0.2173473239708513,1.5913427812695926,0.8913619282090897,-0.2330511908200374,1.573531360349934,0.8822582340785392
cycleway=missing,0.0761141844430315,0.2468641789951467,0.7578357029627427,0.0780735221020606,0.2463491420032685,0.7513026055543954
cycleway=no,-0.0327105487330016,0.3753656400367716,0.9305577176396056,-0.0536401165496787,0.3746167929024638,0.8861427878182295
cycleway=separate,-0.135213478966398,0.3941563537271008,0.7315643918590999,-0.1544319556607217,0.3943990858814672,0.6953813811878393
cycleway=track,0.3765164785709495,0.3494784568254282,0.2813164405009991,0.3872950780238419,0.3496052537376615,0.2679452619611695
highway=living_street,0.1763914953168516,0.6591876954153764,0.7890155599377062,0.2064306237487671,0.6491644925787392,0.7504892426867553
highway=motorway,0.3916564119417476,0.6787145733816523,0.563901531747574,0.3650863591489723,0.6683565359085346,0.5848975956507871
highway=motorway_link,0.2410452449462944,0.6834015216760634,0.724302905811796,0.2299691400537073,0.672679929760067,0.7324486686508631
highway=path,-0.2543922815679272,0.7536882414644743,0.7357175114628163,-0.2680549934082153,0.7443822184764705,0.7187693827043768
highway=primary,1.037527899802903,0.6526314083032603,0.1118887087876796,1.0454369899594778,0.6416024033726941,0.1032250603492623
highway=residential,0.0126042684155262,0.6417392156755518,0.9843299203519256,0.0235103104914374,0.6303712882855922,0.9702490164125588
highway=secondary,0.7372225226597292,0.6448023613368309,0.2529011925447695,0.7573353314663166,0.633705569627223,0.2320517809054112
highway=secondary_link,-0.2137208569486696,2.106995628578841,0.919205999408367,-0.2205736657156791,2.104256244939344,0.9165165558722096
highway=service,-0.0020720428984571,0.6435749996736249,0.9974311491548684,-0.006408693501321,0.632133341253576,0.9919110262469149
highway=tertiary,0.5441246627660554,0.64714534323399,0.4004557808631852,0.5599054225002659,0.6359171283828552,0.3786052026883131
highway=track,-2.086198508570939,0.9518915637887764,0.0284058998411227,-2.0695531149839144,0.945042750976309,0.0285311833714794
highway=unclassified,-0.1746125163781133,0.6539114700753768,0.7894477859753477,-0.1408856259105983,0.6429188371960852,0.8265453639613065
lanes,0.074059146565601,0.0309341028090668,0.0166614830534372,0.073047089324404,0.0309833027088202,0.0183921336293713
lit=missing,-0.0477536681941118,0.8242660515022929,0.9538005832244084,-0.0406152222416545,0.8217075637574932,0.9605783496728568
lit=no,0.704008098076713,0.8293757069515773,0.3959697768576089,0.700206593570106,0.826891145211855,0.3971098633757401
lit=yes,0.9831569627310124,0.8255403162436203,0.2336828572247993,0.9947520568435604,0.8228701424340378,0.226708577765055
maxspeed,-0.0627680511291426,0.0542761750790636,0.2474943646890621,-0.0564774789489354,0.0543426347044969,0.2986722615898434
oneway=no,-0.0329022939748844,0.1266185949937047,0.7949767267499659,-0.0090213480187891,0.1267957975959893,0.9432794604807028
oneway=yes,0.6226837648439227,0.0900870574960915,4.777955808776824e-12,0.6253555545800052,0.090120064353734,3.945066495703031e-12
road_segment_length_m,-0.315943880117853,0.0326496398401945,0.0,-0.3163620420442601,0.0326090846011137,0.0
sidewalk=left,-0.5601512004887499,0.1991783938944913,0.0049187217859287,-0.552449433694781,0.198897947110704,0.0054770039206022
sidewalk=missing,0.4047013400698582,0.0931071375046141,1.3825146959245416e-05,0.4078047859338632,0.0932838528448824,1.2330848026209653e-05
sidewalk=no,-0.0657924186526844,0.1617924846683487,0.684267316970744,-0.048794246241036,0.1617759754662004,0.7629446981466219
sidewalk=right,-0.2900893073546686,0.1831900926058219,0.1132978552171146,-0.2733349512164765,0.1825123728001114,0.1342309086514448
sidewalk=separate,-0.1133397555481238,0.2017575208870538,0.574278026633257,-0.1040901453042525,0.2025447667724352,0.6073136584039751
smoothness=excellent,1.0922681277478397,0.2284002954898905,1.733408277804216e-06,1.1082869586424189,0.2290415020956941,1.3062271899677569e-06
smoothness=good,0.6472310876513501,0.211397023809386,0.0022009496879811,0.676466303050195,0.2119665736993552,0.0014159394691266
smoothness=horrible,-0.0690707459965673,3.455184778233782,0.9840509798863272,-0.0674444850767154,3.4905494811921502,0.984584213629772
smoothness=intermediate,0.5511679856929362,0.2229983383534916,0.0134500997044839,0.5830675608743997,0.223826346871499,0.0091874347077685
smoothness=missing,0.5016794852122146,0.2063801374941161,0.0150633832869713,0.5378671598845375,0.2070122935283547,0.0093703584953719
smoothness=very_bad,0.4302571054547181,0.3920120477041456,0.2723962635952766,0.437481621336744,0.3916383582117272,0.2639707712044017
street_quality_roi_winz,,,,-0.1049148536916508,0.0267257630877336,8.651115441904444e-05
surface=bricks,-0.1883655803246344,2.0050755998903735,0.9251533410508208,-0.1945898324228576,2.0047168685605716,0.9226739873939682
surface=cobblestone,0.5474568465639723,0.5953928494114279,0.3578401456234521,0.5919221841931671,0.5944094359687644,0.3193397531965125
surface=compacted,-1.4314533724644571,0.6804231208329898,0.035398563202192,-1.4366514686421756,0.6865520504547284,0.0363884361138981
surface=concrete,-1.0060913597131282,0.1175482117045874,0.0,-0.9944852592113086,0.1177093705333846,0.0
surface=concrete:lanes,-0.8771477140678923,0.8537337305701145,0.3042201993226969,-0.8740994906561331,0.8636735291749483,0.3115037980381832
surface=concrete:plates,0.1462087451530246,0.3612657265279101,0.6856888735926059,0.144579939590847,0.3626232160891606,0.690110074762051
surface=dirt,-0.576246092359204,1.015651392275451,0.5704655282855342,-0.5816197176635273,1.018233050400044,0.5678607504752775
surface=fine_gravel,-1.4910706475115851,0.7835873685451573,0.0570565524101105,-1.4954430685821298,0.7811425294468397,0.0555651739375986
surface=grass_paver,-0.8567510280990136,0.8444698067188813,0.31032366733176,-0.8816396489377526,0.8463864054109144,0.2975732934194384
surface=gravel,1.007014796865651,0.5597957821442835,0.0720350194064483,1.0200880960955696,0.5596825532659935,0.0683611049382972
surface=ground,-0.7531801138835771,0.9077022543538088,0.4066713186255519,-0.765961048672441,0.9122537619263582,0.4011125393557568
surface=missing,-1.1835788532768268,0.1560709945173203,3.3528735343679734e-14,-1.1795228394018766,0.1566898589226917,5.1514348342607263e-14
surface=paved,-0.258714287464401,0.3903570750924278,0.5074822533242738,-0.2712038763193486,0.3906324259132966,0.4875137004038481
surface=paving_stones,-0.8581220694295772,0.1546762555816873,2.891888017941824e-08,-0.7785273722880283,0.156420148781459,6.452555061375875e-07
surface=sand,-0.4307862148578976,1.189531271963272,0.7172415338805129,-0.4344204051216996,1.186112743542462,0.7141743757641419
surface=sett,-0.7951774213455405,0.159489050028217,6.17121234558482e-07,-0.7686213981247288,0.1604838328535305,1.6728006466681933e-06
surface=unhewn_cobblestone,-0.6823771486539758,0.9438880205703292,0.469714961759079,-0.6942801721374989,0.9457593999500868,0.4628889555951379
surface=unpaved,-0.6616968261533149,0.914078384717159,0.4691301636817289,-0.6761421214542134,0.9178125788633316,0.4613117028062179
tunnel=missing,-0.4850339531024354,0.6715564562077135,0.4701386798945055,-0.4852316072079536,0.6721934755368673,0.4703787037248057
tunnel=yes,-1.950662322853181,0.7974573284292826,0.0144409959935452,-1.9687886944789692,0.7947421323144436,0.0132392709603983
width,-0.1008510485002744,0.0269128354952043,0.0001787329035551,-0.1012834315043891,0.0269032272880893,0.0001667280336981
