threshold,crash_count,frequency,percentage
5m,1,1604,77.98
5m,2,288,14.0
5m,3,73,3.55
5m,4,52,2.53
5m,5,19,0.92
5m,6,13,0.63
5m,7,3,0.15
5m,9,2,0.1
5m,11,1,0.05
5m,13,1,0.05
5m,16,1,0.05
10m,1,3526,66.05
10m,2,1020,19.11
10m,3,363,6.8
10m,4,148,2.77
10m,5,66,1.24
10m,6,68,1.27
10m,7,60,1.12
10m,8,18,0.34
10m,9,22,0.41
10m,10,11,0.21
10m,11,9,0.17
10m,12,18,0.34
10m,16,2,0.04
10m,17,7,0.13
25m,1,4552,40.49
25m,2,2327,20.7
25m,3,1403,12.48
25m,4,959,8.53
25m,5,613,5.45
25m,6,434,3.86
25m,7,153,1.36
25m,8,112,1.0
25m,9,72,0.64
25m,10,64,0.57
25m,11,81,0.72
25m,12,71,0.63
25m,13,199,1.77
25m,14,40,0.36
25m,15,13,0.12
25m,16,13,0.12
25m,17,56,0.5
25m,18,50,0.44
25m,19,1,0.01
25m,20,1,0.01
25m,21,3,0.03
25m,22,9,0.08
25m,23,6,0.05
25m,27,5,0.04
25m,28,1,0.01
25m,30,5,0.04
