feature,coefficient,abs_coefficient,feature_type
access=permissive,-2.3408705193858865,2.3408705193858865,categorical
highway=track,-2.086198508570939,2.086198508570939,categorical
tunnel=yes,-1.950662322853181,1.950662322853181,categorical
access=private,-1.7820279662062803,1.7820279662062803,categorical
access=destination,-1.6577800817578225,1.6577800817578225,categorical
surface=fine_gravel,-1.4910706475115851,1.4910706475115851,categorical
surface=compacted,-1.4314533724644571,1.4314533724644571,categorical
surface=missing,-1.1835788532768268,1.1835788532768268,categorical
smoothness=excellent,1.0922681277478397,1.0922681277478397,categorical
highway=primary,1.037527899802903,1.037527899802903,categorical
surface=gravel,1.0070147968656513,1.0070147968656513,categorical
surface=concrete,-1.0060913597131282,1.0060913597131282,categorical
lit=yes,0.9831569627310123,0.9831569627310123,categorical
surface=concrete:lanes,-0.8771477140678923,0.8771477140678923,categorical
surface=paving_stones,-0.8581220694295772,0.8581220694295772,categorical
surface=grass_paver,-0.8567510280990136,0.8567510280990136,categorical
surface=sett,-0.7951774213455405,0.7951774213455405,categorical
surface=ground,-0.7531801138835771,0.7531801138835771,categorical
highway=secondary,0.7372225226597292,0.7372225226597292,categorical
lit=no,0.704008098076713,0.704008098076713,categorical
surface=unhewn_cobblestone,-0.6823771486539758,0.6823771486539758,categorical
surface=unpaved,-0.6616968261533149,0.6616968261533149,categorical
smoothness=good,0.6472310876513501,0.6472310876513501,categorical
oneway=yes,0.6226837648439227,0.6226837648439227,categorical
surface=dirt,-0.576246092359204,0.576246092359204,categorical
access=missing,-0.5630922536266164,0.5630922536266164,categorical
sidewalk=left,-0.5601512004887499,0.5601512004887499,categorical
smoothness=intermediate,0.5511679856929362,0.5511679856929362,categorical
surface=cobblestone,0.5474568465639723,0.5474568465639723,categorical
highway=tertiary,0.5441246627660554,0.5441246627660554,categorical
smoothness=missing,0.5016794852122146,0.5016794852122146,categorical
tunnel=missing,-0.48503395310243547,0.48503395310243547,categorical
surface=sand,-0.4307862148578976,0.4307862148578976,categorical
smoothness=very_bad,0.4302571054547181,0.4302571054547181,categorical
sidewalk=missing,0.40470134006985825,0.40470134006985825,categorical
highway=motorway,0.39165641194174766,0.39165641194174766,categorical
cycleway=track,0.3765164785709495,0.3765164785709495,categorical
road_segment_length_m,-0.315943880117853,0.315943880117853,numeric
sidewalk=right,-0.2900893073546686,0.2900893073546686,categorical
access=delivery,-0.28554784116463927,0.28554784116463927,categorical
surface=paved,-0.258714287464401,0.258714287464401,categorical
highway=path,-0.25439228156792726,0.25439228156792726,categorical
highway=motorway_link,0.2410452449462944,0.2410452449462944,categorical
access=yes,-0.21734732397085138,0.21734732397085138,categorical
highway=secondary_link,-0.21372085694866969,0.21372085694866969,categorical
surface=bricks,-0.1883655803246344,0.1883655803246344,categorical
highway=living_street,0.17639149531685167,0.17639149531685167,categorical
highway=unclassified,-0.1746125163781133,0.1746125163781133,categorical
surface=concrete:plates,0.14620874515302465,0.14620874515302465,categorical
cycleway=separate,-0.13521347896639802,0.13521347896639802,categorical
access=no,-0.12360459998857583,0.12360459998857583,categorical
sidewalk=separate,-0.11333975554812387,0.11333975554812387,categorical
width,-0.10085104850027447,0.10085104850027447,numeric
cycleway=missing,0.07611418444303156,0.07611418444303156,categorical
lanes,0.07405914656560104,0.07405914656560104,numeric
smoothness=horrible,-0.06907074599656736,0.06907074599656736,categorical
sidewalk=no,-0.06579241865268444,0.06579241865268444,categorical
maxspeed,-0.06276805112914263,0.06276805112914263,numeric
lit=missing,-0.047753668194111885,0.047753668194111885,categorical
oneway=no,-0.032902293974884415,0.032902293974884415,categorical
cycleway=no,-0.032710548733001624,0.032710548733001624,categorical
highway=residential,0.012604268415526249,0.012604268415526249,categorical
highway=service,-0.0020720428984571443,0.0020720428984571443,categorical
