,highway=living_street,highway=motorway,highway=motorway_link,highway=path,highway=primary,highway=residential,highway=secondary,highway=secondary_link,highway=service,highway=tertiary,highway=track,highway=unclassified,surface=bricks,surface=cobblestone,surface=compacted,surface=concrete,surface=concrete:lanes,surface=concrete:plates,surface=dirt,surface=fine_gravel,surface=grass_paver,surface=gravel,surface=ground,surface=missing,surface=paved,surface=paving_stones,surface=sand,surface=sett,surface=unhewn_cobblestone,surface=unpaved,lit=missing,lit=no,lit=yes,cycleway=missing,cycleway=no,cycleway=separate,cycleway=track,sidewalk=left,sidewalk=missing,sidewalk=no,sidewalk=right,sidewalk=separate,oneway=no,oneway=yes,tunnel=missing,tunnel=yes,access=delivery,access=destination,access=missing,access=no,access=permissive,access=private,access=yes,smoothness=excellent,smoothness=good,smoothness=horrible,smoothness=intermediate,smoothness=missing,smoothness=very_bad,road_segment_length_m,maxspeed,lanes,width
highway=living_street,0.43452841778703505,0.3910861248554665,0.39927858509997977,0.4028815806008095,0.4004143683387893,0.4023069689453521,0.39980780717542036,0.4008975028160309,0.39957745468591976,0.40153675636795055,0.3965929715050808,0.4024060674410206,0.0014253799349343756,-0.006753121811635064,-0.003309173268899862,0.001140790369195987,0.0014478799103588335,-0.006253397083161646,-0.0030876913584435644,0.004331831069374653,0.0014760207030015005,-0.004939236413573172,-0.002275140095528574,-0.001916557719255748,0.0010636999108793903,0.0039779056862377276,-0.002907767907960951,-0.00579889047916189,-0.003802556886116546,-0.0026976162870012074,-0.27477121141474753,-0.2791424424800419,-0.2805499713464116,-0.01554433728816907,-0.015140267074699905,-0.01535966246379665,-0.015449340493159377,-0.00035513208324922097,-0.00039287647713017316,-0.002534107586807146,-0.0010604338439193935,0.0003737238850544366,0.00014778201720448098,0.0010580085845785178,-0.06843206427213991,-0.2769904922612402,-0.023896964066114985,-0.02870091171651658,-0.023771073231115807,-0.04075096848458435,-0.02413004286720875,-0.02501591983005222,-0.0284115212920413,-0.014091984782042554,-0.014127686229992706,-0.005522332741832835,-0.014512542457878669,-0.01303022994137234,-0.007522097770826508,-0.00041211858647775823,0.001349129710092597,0.00015810076037897874,-7.907281579601312e-05
highway=motorway,0.3910861248554615,0.46065347212063823,0.4223984321442364,0.4003936815266213,0.41466124445678704,0.39979761238845063,0.4149709257114289,0.4110984004101594,0.395994168741832,0.4109364155311424,0.39818646564104426,0.4032715579330926,-0.0008138471699845212,-0.007916590908159847,-0.009491360420121856,-0.0015682084936474807,0.0015034379018936308,-0.005322242288409828,-0.0034341627344670438,-0.0013805839654472372,-0.001115976650630582,-0.017098451550401874,-0.0018776466918189753,-0.00047046601032498165,0.00016067713270379532,0.010661338221958885,-0.002051216599349589,-0.0053261261311939485,-0.0013959531283368083,-0.002070692104817832,-0.2497945335140203,-0.2539059440500079,-0.25705957625940634,-0.015732212729963325,-0.018783977713162273,-0.01429175325772656,-0.01397095220770726,0.00036805108632119,-0.0011983595960217905,-0.0050360709405695816,0.0019501743456572644,0.0005771931967976798,-0.0030505832739740734,-0.0052686482215752424,-0.09515194606176663,-0.2971831198526125,-0.032873089641523225,-0.024664390552657473,-0.024529304284668527,-0.04725671822492191,-0.03254289318611808,-0.024637533135253735,-0.030503485505209094,-0.011504295078189508,-0.012155399516135099,-0.01242839316388482,-0.011338286808986403,-0.014307799765381242,-0.011671429541891154,-0.001177383083696298,-0.0095136702874422,-0.0020438366040937458,0.0005592132129601559
highway=motorway_link,0.3992785850999746,0.42239843214423484,0.46703763982915886,0.40815263477194397,0.4155299341005744,0.40726862472209907,0.41373873771877423,0.418406227105557,0.40378394195342454,0.4122415539231351,0.4036566266606033,0.40982028777680385,0.0010860546417475682,-0.006549580539560328,-0.005066228107104334,0.0017179069282635007,0.0035732537633162416,-0.005239665368936702,-0.0027997281056468142,0.0029759684510633454,0.005723687701125373,-0.010181660922071473,-0.000977532911802484,-0.0008403384378566425,0.0019691297203164658,0.0123999767255066,-0.0027869157026522663,-0.0038952555551772265,-0.0015821093673141925,-0.0017649327849921068,-0.2595657302843397,-0.2655909176228325,-0.26711268553988937,-0.015459760370579214,-0.017823147754827233,-0.01339795909431353,-0.015207109817531733,0.00011921933880526268,-0.0008754027998699032,-0.0025556520320862823,0.0015027154179282777,0.0012806923756230708,-0.0018000581271633625,-0.005278930892896654,-0.09077799270093066,-0.2890238292659163,-0.033460012742978204,-0.024941824762177038,-0.0242659685526289,-0.04182932139325755,-0.028386679853182474,-0.0244027500627125,-0.03136298614575753,-0.010512019551542701,-0.011498751301751464,-0.006544254139971307,-0.011916268110881109,-0.013343470897241272,-0.009774110777321232,-0.0006064694764558833,-0.003747288266897384,0.00032486362795031967,0.0003701560172372314
highway=path,0.40288158060080476,0.4003936815266119,0.4081526347719662,0.5680459653218118,0.4093332923291742,0.4098526389794884,0.4100437240802314,0.40708562406702903,0.4081431797830225,0.4101291667884269,0.4137741722738893,0.4122371423715135,0.0018695780464386864,-0.007829806927600463,0.0008844663707178334,0.0023117348047166464,0.008568540055999446,-0.001183078405813404,-0.007376653155529529,0.011475525956898273,0.017385811958429687,-0.0057470901045875876,-0.00321318522271964,-0.0026611521601856564,0.005214254697379118,0.012503241241042299,-0.008649524306574646,-0.004710814816151943,-0.0051791556277666,-0.00403950045388775,-0.2682798955576838,-0.28035106853851294,-0.27496659170745785,-0.013492353117205511,-0.015320965146966027,-0.01386982587786172,-0.014582485840518866,6.111548969420149e-05,0.00012702934640028757,0.003068393023481296,-0.001284770407671116,0.001308616217791985,-0.014283298696278018,-0.0006990991005846874,-0.08879841306965104,-0.29249774304573084,-0.029399962481675958,-0.0214658773239803,-0.01918484348044074,-0.03598871360151122,-0.02130015201207017,-0.021612391543426656,-0.02143647372258432,-0.01509263065938613,-0.01383513116466807,-0.00248407816802741,-0.014480741803442665,-0.012711686668796976,-0.007960136530671577,-0.00106068333185041,0.0018353578056133511,-0.00041116711775959986,0.00018659171119788284
highway=primary,0.4004143683387861,0.41466124445678926,0.4155299341005755,0.4093332923291731,0.42592775510389685,0.40810494674892744,0.4122947144084868,0.41521098579010485,0.4042354738481125,0.41192970141227186,0.4039382820402201,0.4104904798605055,0.0015395843996219632,-0.006678545915276987,-0.004097769419733552,0.0017925357985844718,0.003938101011176162,-0.005159039806044878,-0.0024544084568245417,0.003460957360431453,0.004782255837839571,-0.009073741118366589,-0.0016430659360466805,-0.0009479399188237168,0.0011651859306086381,0.012786128267824342,-0.0027084265838713253,-0.00430776873599853,-0.0023581303232073337,-0.0015301255873811964,-0.2621534734042287,-0.2680417160804315,-0.26897433763873224,-0.014663293247229935,-0.016647996034669755,-0.013578793397817557,-0.01391500245341782,8.614417634896747e-05,-0.0007342773662538122,-0.00273510720387417,-0.0021505646621638934,0.0008154424200885917,-0.0009664870463419903,-0.0020527648981527816,-0.09025657047275673,-0.29074572768373086,-0.031183039649640122,-0.024419871112450562,-0.023358238600375482,-0.039523268383107824,-0.02630321702697249,-0.02417924817139903,-0.031751215586238474,-0.012123801248085493,-0.013112691722161469,-0.0059596828333367555,-0.012693809650255168,-0.01279559535610093,-0.009039286963278376,-0.0002334987037483922,-0.0024784465902240294,0.00020802512759248595,0.000371164776559297
highway=residential,0.4023069689453489,0.39979761238845263,0.40726862472209735,0.4098526389794731,0.4081049467489277,0.41182922093587243,0.4076484993722644,0.40766525702136935,0.4056502911849722,0.4098130512834267,0.40501411839453927,0.409362108061782,0.0008304366645832623,-0.006801431118251945,-0.004343679511366782,0.000560418694668692,0.002667406026965415,-0.005937596333625635,-0.0025404370436851622,0.004716903881705693,0.003532676855489395,-0.006550177079591134,-0.0031039363295112298,-0.0020248946401747905,0.0003671726665155555,0.012510691736427633,-0.0037646624299413228,-0.004979987017197291,-0.0036271828777713626,-0.0006767079429761638,-0.2665178538035281,-0.27082895307237714,-0.2731158496037836,-0.01743514239741068,-0.018981138311690796,-0.018644450702636466,-0.016968635387049253,0.0006777411789229038,0.0009363276797390878,-0.0017430983854104668,-0.0008474705469960226,0.0002148243103079423,-0.0006143460278101617,0.0019172224867164554,-0.0862901597037289,-0.2889910456054353,-0.029803797098084252,-0.02280625322981918,-0.02220109323843753,-0.03949568569920652,-0.023489488838378498,-0.02318557612545872,-0.03248436360521542,-0.011703511412277691,-0.012210817199313474,-0.00491673277358893,-0.013629115458027082,-0.012131314829520653,-0.007255628146549603,-0.0004611774918109965,0.0010116167786507599,0.00024045499290058713,0.00026450033025505755
highway=secondary,0.39980780717541786,0.4149709257114313,0.41373873771877584,0.4100437240802119,0.4122947144084875,0.40764849937226477,0.415770085185553,0.41188683694813416,0.4034015780153993,0.41182634870773693,0.40416077063584915,0.40943392553734237,0.001959758418326683,-0.006973236464649144,-0.00461467167680006,0.001614934087367161,0.0028090707950255834,-0.004654553808457437,-0.002563672301853874,0.0038230901182837443,0.003159383005320506,-0.009247241221865201,-0.001890876650952037,-0.0010665057397829707,0.001424540903649844,0.012742606152992119,-0.0027931844178691015,-0.004472787619369378,-0.002569019985398985,-0.0007730929299522101,-0.26565792545210337,-0.2703932769033392,-0.27225491678371927,-0.012436969591470537,-0.015015223265449722,-0.012062962722663767,-0.013339732516336422,0.0005116131109151108,-0.0006727096607774956,-0.002781510559786144,-0.0005477442574233251,0.0006041426335415794,-0.0015420593370698346,-0.0007941322231243309,-0.08960181027854157,-0.2918391368274937,-0.03057699205172646,-0.023773565478214912,-0.022728590496378178,-0.040301296191121924,-0.025730080893422123,-0.023860414043815413,-0.030789336682658076,-0.012432328266372335,-0.01338611687040053,-0.007661265438123531,-0.013416274719508637,-0.012832077868044509,-0.009252246007999941,-0.0010944314446868432,-0.0026957790583503733,-0.00026542673744698675,0.00047338141885987114
highway=secondary_link,0.4008975028160195,0.41109840041017537,0.4184062271055563,0.4070856240670363,0.41521098579009,0.4076652570213553,0.4118868369481294,4.439430578850344,0.40419421020005114,0.41192003963284984,0.40144941662170314,0.4116924788300058,0.00010222542427715133,-0.008078159389347027,-0.005728280672945814,0.002060262681592597,0.0011155658983766873,-0.004325820038340851,-0.0023376704892697124,0.004395103717152008,0.009305233152866946,-0.009548162934897117,-0.001961327616693747,-0.0017261206958844933,-0.0003695349403987574,0.012558948022315558,-0.003536577950413048,-0.004852955131029989,-0.0022099193237371815,-0.003647117748340179,-0.2590209547801284,-0.26203999733574856,-0.26502375156795965,-0.013994716563992742,-0.01627868207484005,-0.013298149666138044,-0.013149516951692135,-0.0003467511455297574,-0.0011286993890916445,-0.0029556956695508054,0.0015714581440071968,0.001095300944590258,-0.0013240026519889148,-0.005377913945711632,-0.09058819125115584,-0.28938972703774885,-0.03297376511352976,-0.027666203227030305,-0.02645072064269992,-0.04006367997712271,-0.02988282297614522,-0.02751952795969021,-0.034871946303002783,-0.01168123967387219,-0.014417851310178666,-0.005090061145364353,-0.012799291968914694,-0.012065607241471375,-0.00963507725842571,5.695500789779816e-05,-0.002857702730950392,0.0029262811525452323,-0.00037877078061209635
highway=service,0.39957745468591666,0.39599416874183485,0.4037839419534272,0.40814317978303966,0.40423547384811276,0.4056502911849723,0.40340157801539867,0.404194210200041,0.4141887802049063,0.40483373683841845,0.4045649991092716,0.40538007357914274,0.0018225999642165073,-0.0055042241523782,-0.004607084505182988,0.0005257905043796512,-0.008142488966785086,-0.009730520222996333,-0.00556164166029412,0.0014926341977443218,-0.005752893120404333,-0.00473674710839091,-0.003819055009436979,-0.004986319098503801,-0.0007927822652401244,0.009558254663661307,-0.0013215258509116847,-0.0054501251552316835,-0.0036631674308109964,-0.01089161830507247,-0.2743513869680818,-0.2776927492941209,-0.27746134021770924,-0.015229954459986964,-0.016298831857973473,-0.015283327725064513,-0.015510653381911859,9.375678276296264e-05,0.0001700577776424643,-0.0022216270127728022,-0.001095404580765669,0.0006609341310605146,-0.0018723474063532357,0.0004717394489991883,-0.08672921317775827,-0.29291487838780766,-0.03164266780943731,-0.022430650358419662,-0.013802441161039136,-0.037281179673848884,-0.023620516106250367,-0.021633355615517987,-0.01932794286779843,-0.011698865270482257,-0.012249600510831484,-0.009318413164135378,-0.013116861116480536,-0.011803809253606449,-0.006441827495764527,-9.63380419927378e-05,0.00116790415070995,0.00023257698441296612,0.0003086113365450299
highway=tertiary,0.40153675636794744,0.4109364155311442,0.4122415539231339,0.4101291667884119,0.411929701412272,0.40981305128342677,0.41182634870773643,0.41192003963285645,0.40483373683841806,0.4187970952694387,0.40424661122360944,0.41049300370998076,0.0014097851106725425,-0.006415904116333539,-0.005057269008747612,0.0016432960750381157,0.002903377728901879,-0.00446367735883452,-0.0018385041009590989,0.004385852066986808,0.004544642321642233,-0.008837250141802096,-0.0014865493162188228,-0.0014291787724710148,0.0012981939435510103,0.013005086118549464,-0.0025531635006065608,-0.0043120859008178745,-0.0007608073684216732,-0.0013327573636157223,-0.2653699727666791,-0.26957396042282444,-0.2726412588995553,-0.016979365803869117,-0.021285549656127632,-0.01607607111207673,-0.015583698153485804,0.0015885816231363727,0.0004807595819891728,-0.002554791946230509,0.00017645892854002956,0.001449976520165143,-0.001922530023649682,0.002012053156396851,-0.0877336355555468,-0.29112184323553597,-0.0298876858653302,-0.022822758223816887,-0.02263068439260885,-0.04046627724990195,-0.025486674177612814,-0.023531584893186106,-0.03083238893058748,-0.012435850655436922,-0.012764555472167271,-0.006721813663410262,-0.013050262881721666,-0.012716595151290741,-0.009564389433792597,-0.0003641708128073017,-0.0021151243926290364,0.000125005088314002,0.00012499727463686632
