feature,coefficient,std_error,z_score,p_value,significant
road_segment_length_m,-0.315943880117853,0.032649639840194575,-9.67679526219148,0.0,True
surface=concrete,-1.0060913597131282,0.11754821170458743,-8.558967806686459,0.0,True
surface=missing,-1.1835788532768268,0.1560709945173203,-7.583592690860163,3.352873534367973e-14,True
oneway=yes,0.6226837648439227,0.09008705749609157,6.912022460839482,4.777955808776824e-12,True
surface=paving_stones,-0.8581220694295772,0.15467625558168735,-5.547859082846671,2.8918880179418238e-08,True
surface=sett,-0.7951774213455405,0.15948905002821703,-4.9857806614614395,6.17121234558482e-07,True
smoothness=excellent,1.0922681277478397,0.22840029548989052,4.782253566726168,1.733408277804216e-06,True
access=private,-1.7820279662062803,0.39735654433130163,-4.484707730698627,7.301394436831643e-06,True
sidewalk=missing,0.40470134006985825,0.09310713750461413,4.346619936090317,1.3825146959245416e-05,True
access=destination,-1.6577800817578225,0.39993595994959397,-4.14511383764231,3.39644933926575e-05,True
access=permissive,-2.3408705193858865,0.5924324680621225,-3.9512866792108747,7.773214184858546e-05,True
width,-0.10085104850027447,0.02691283549520433,-3.747321552879309,0.0001787329035551899,True
smoothness=good,0.6472310876513501,0.21139702380938608,3.0616849565249784,0.002200949687981124,True
sidewalk=left,-0.5601512004887499,0.1991783938944913,-2.812309053890017,0.004918721785928781,True
smoothness=intermediate,0.5511679856929362,0.22299833835349164,2.471623733891855,0.013450099704483964,True
tunnel=yes,-1.950662322853181,0.7974573284292826,-2.446102447506899,0.014440995993545203,True
smoothness=missing,0.5016794852122146,0.20638013749411616,2.430851589225816,0.015063383286971321,True
lanes,0.07405914656560104,0.030934102809066867,2.394093891221378,0.016661483053437287,True
highway=track,-2.086198508570939,0.9518915637887764,-2.191634623031352,0.02840589984112274,True
access=missing,-0.5630922536266164,0.26720630474641344,-2.107331464955542,0.03508885775394144,True
surface=compacted,-1.4314533724644571,0.6804231208329898,-2.1037694467407846,0.035398563202192035,True
surface=fine_gravel,-1.4910706475115851,0.7835873685451573,-1.9028773399958863,0.05705655241011054,False
surface=gravel,1.0070147968656513,0.5597957821442835,1.7988967208868685,0.0720350194064483,False
highway=primary,1.037527899802903,0.6526314083032603,1.5897609073095538,0.11188870878767965,False
sidewalk=right,-0.2900893073546686,0.18319009260582192,-1.5835425553218445,0.11329785521711466,False
lit=yes,0.9831569627310123,0.8255403162436203,1.1909254380265526,0.2336828572247993,False
maxspeed,-0.06276805112914263,0.054276175079063675,-1.1564567885947916,0.24749436468906216,False
highway=secondary,0.7372225226597292,0.6448023613368309,1.1433309908035836,0.2529011925447695,False
smoothness=very_bad,0.4302571054547181,0.3920120477041456,1.0975609244015794,0.2723962635952766,False
cycleway=track,0.3765164785709495,0.3494784568254282,1.0773667767424855,0.28131644050099913,False
surface=concrete:lanes,-0.8771477140678923,0.8537337305701145,-1.0274253934914135,0.30422019932269695,False
surface=grass_paver,-0.8567510280990136,0.8444698067188813,-1.014543114842495,0.31032366733176,False
surface=cobblestone,0.5474568465639723,0.5953928494114279,0.9194884471742608,0.3578401456234521,False
lit=no,0.704008098076713,0.8293757069515773,0.8488409922980976,0.3959697768576089,False
highway=tertiary,0.5441246627660554,0.64714534323399,0.8408075070847182,0.40045578086318523,False
surface=ground,-0.7531801138835771,0.9077022543538087,-0.8297656090099329,0.40667131862555195,False
surface=unpaved,-0.6616968261533149,0.914078384717159,-0.7238950589101417,0.4691301636817289,False
surface=unhewn_cobblestone,-0.6823771486539758,0.9438880205703291,-0.7229429061316621,0.469714961759079,False
tunnel=missing,-0.48503395310243547,0.6715564562077135,-0.7222534287607439,0.47013867989450553,False
surface=paved,-0.258714287464401,0.3903570750924278,-0.6627631570483083,0.5074822533242738,False
highway=motorway,0.39165641194174766,0.6787145733816523,0.5770561400948626,0.563901531747574,False
surface=dirt,-0.576246092359204,1.015651392275451,-0.5673660241514467,0.5704655282855342,False
sidewalk=separate,-0.11333975554812387,0.20175752088705387,-0.5617622334464187,0.574278026633257,False
sidewalk=no,-0.06579241865268444,0.16179248466834872,-0.4066469390562202,0.684267316970744,False
surface=concrete:plates,0.14620874515302465,0.36126572652791017,0.40471247178143,0.6856888735926059,False
surface=sand,-0.4307862148578976,1.189531271963272,-0.36214786867007104,0.7172415338805129,False
highway=motorway_link,0.2410452449462944,0.6834015216760634,0.3527139423908853,0.724302905811796,False
cycleway=separate,-0.13521347896639802,0.3941563537271008,-0.3430452856787254,0.7315643918590999,False
highway=path,-0.25439228156792726,0.7536882414644743,-0.3375298532900334,0.7357175114628163,False
cycleway=missing,0.07611418444303156,0.24686417899514676,0.30832413496705785,0.7578357029627427,False
access=no,-0.12360459998857583,0.4097105566780209,-0.30168761330138955,0.7628902117393632,False
highway=living_street,0.17639149531685167,0.6591876954153764,0.26758918065923765,0.7890155599377062,False
highway=unclassified,-0.1746125163781133,0.6539114700753768,-0.2670277619659824,0.7894477859753477,False
oneway=no,-0.032902293974884415,0.12661859499370479,-0.25985357029526546,0.7949767267499659,False
access=delivery,-0.28554784116463927,1.490579766612194,-0.19156830621257895,0.8480803706376026,False
access=yes,-0.21734732397085138,1.5913427812695926,-0.13658108518734666,0.8913619282090897,False
highway=secondary_link,-0.21372085694866969,2.106995628578841,-0.10143393467447459,0.919205999408367,False
surface=bricks,-0.1883655803246344,2.0050755998903735,-0.09394437812466183,0.9251533410508208,False
cycleway=no,-0.032710548733001624,0.37536564003677164,-0.08714316187756883,0.9305577176396056,False
lit=missing,-0.047753668194111885,0.8242660515022929,-0.05793477495170022,0.9538005832244083,False
smoothness=horrible,-0.06907074599656736,3.455184778233782,-0.01999046373197872,0.9840509798863273,False
highway=residential,0.012604268415526249,0.6417392156755518,0.01964079505762769,0.9843299203519256,False
highway=service,-0.0020720428984571443,0.6435749996736249,-0.003219582643060927,0.9974311491548684,False
