epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,141.859,3.44037,4.54835,2.14032,0.00347,0.1344,0.00493,0.00132,3.56474,3.57186,2.3879,0.000665521,0.000665521,0.000665521
2,276.608,3.46995,3.54616,2.08059,0.02815,0.03588,0.00559,0.00158,3.45222,3.36025,2.13032,0.00128823,0.00128823,0.00128823
3,410.198,3.3971,3.39687,2.0385,0.00591,0.24943,0.00589,0.00152,3.46384,3.22712,2.11752,0.00186693,0.00186693,0.00186693
4,542.512,3.34346,3.29281,2.00343,0.09154,0.02221,0.01049,0.00335,3.29497,3.27134,2.16142,0.001802,0.001802,0.001802
5,675.164,3.24087,3.1926,1.96396,0.00411,0.28986,0.00863,0.00222,3.37299,3.37418,2.1172,0.001736,0.001736,0.001736
6,806.128,3.19326,3.14214,1.90523,0.06131,0.03986,0.01481,0.00398,3.16162,2.93025,1.94343,0.00167,0.00167,0.00167
7,939.041,3.13999,3.08474,1.90446,0.10017,0.04438,0.02121,0.00568,3.03706,2.93341,1.9439,0.001604,0.001604,0.001604
8,1072,3.13284,3.0302,1.88129,0.07986,0.08485,0.02562,0.0072,3.03535,2.9272,1.92554,0.001538,0.001538,0.001538
9,1204.63,3.05758,2.99747,1.83148,0.09076,0.08884,0.02521,0.00779,2.97461,2.83678,1.89312,0.001472,0.001472,0.001472
10,1336.8,3.00619,2.93288,1.82071,0.13566,0.08257,0.03946,0.01298,2.92248,2.72617,1.83299,0.001406,0.001406,0.001406
11,1468.76,2.97644,2.90227,1.79279,0.10197,0.0877,0.03584,0.01163,2.91291,2.74737,1.88141,0.00134,0.00134,0.00134
12,1599.6,2.92848,2.83997,1.7715,0.11412,0.08257,0.03575,0.01118,2.86815,2.69357,1.8297,0.001274,0.001274,0.001274
13,1730.06,2.91629,2.85326,1.7503,0.11997,0.09567,0.03876,0.01213,2.87213,2.76101,1.85002,0.001208,0.001208,0.001208
14,1860.65,2.89017,2.80122,1.7432,0.15291,0.08087,0.04434,0.01299,2.87458,2.68576,1.77051,0.001142,0.001142,0.001142
15,1991.21,2.84245,2.78141,1.71618,0.14637,0.11162,0.05451,0.01821,2.79194,2.64313,1.80017,0.001076,0.001076,0.001076
16,2122.48,2.86124,2.75608,1.70744,0.15089,0.09909,0.04466,0.01479,2.75703,2.60505,1.77306,0.00101,0.00101,0.00101
17,2252.44,2.7944,2.71006,1.69484,0.15004,0.10308,0.0588,0.01953,2.75796,2.60981,1.78213,0.000944,0.000944,0.000944
18,2384.81,2.79618,2.70524,1.68245,0.16843,0.1082,0.06336,0.02324,2.68722,2.54604,1.72654,0.000878,0.000878,0.000878
19,2517,2.7813,2.66726,1.67755,0.16638,0.11617,0.0656,0.02132,2.70283,2.54693,1.73774,0.000812,0.000812,0.000812
20,2648.08,2.75307,2.62132,1.65387,0.1691,0.10934,0.0641,0.02138,2.69495,2.54222,1.73676,0.000746,0.000746,0.000746
21,2776.76,2.68981,2.70051,1.70526,0.18973,0.11959,0.07007,0.02444,2.61987,2.50335,1.71967,0.00068,0.00068,0.00068
22,2903.76,2.66908,2.62348,1.69586,0.18765,0.11503,0.07576,0.02767,2.62416,2.49065,1.70852,0.000614,0.000614,0.000614
23,3032.37,2.62443,2.57125,1.67595,0.20361,0.12376,0.0776,0.0278,2.58489,2.46726,1.67114,0.000548,0.000548,0.000548
24,3161.31,2.61121,2.5646,1.64735,0.21846,0.12472,0.08713,0.03106,2.58422,2.41275,1.65557,0.000482,0.000482,0.000482
25,3289.64,2.62462,2.58531,1.65229,0.22914,0.13155,0.09442,0.03304,2.57026,2.41937,1.64541,0.000416,0.000416,0.000416
26,3415.38,2.56337,2.56499,1.64544,0.22083,0.14465,0.09262,0.03544,2.52281,2.39853,1.6263,0.00035,0.00035,0.00035
27,3542.06,2.53802,2.48778,1.62082,0.22256,0.14066,0.0958,0.03566,2.5423,2.38436,1.64277,0.000284,0.000284,0.000284
28,3665.97,2.53519,2.52326,1.61605,0.22037,0.14351,0.1002,0.03665,2.51475,2.36812,1.63749,0.000218,0.000218,0.000218
29,3788.99,2.51518,2.45798,1.6225,0.21971,0.14351,0.0979,0.03756,2.51848,2.3619,1.62482,0.000152,0.000152,0.000152
30,3912.98,2.49048,2.43832,1.59746,0.22424,0.14579,0.10036,0.03833,2.49986,2.35891,1.62172,8.6e-05,8.6e-05,8.6e-05
